iter	Passed	Remaining
0	368	2211048
1	671	2014924
2	882	1763735
3	1064	1596406
4	1226	1470832
5	1389	1388033
6	1557	1333290
7	1746	1307783
8	1901	1265627
9	2049	1227441
10	2228	1213361
11	2432	1213662
12	2643	1217630
13	2829	1209829
14	3006	1199476
15	3187	1191976
16	3361	1183156
17	3567	1185599
18	3745	1178901
19	4021	1202395
20	4223	1202542
21	4391	1193411
22	4587	1192281
23	4768	1187286
24	5175	1236953
25	5376	1235284
26	5550	1227872
27	5716	1219190
28	5897	1214330
29	6053	1204562
30	6206	1195139
31	6388	1191469
32	6536	1181881
33	6776	1189011
34	6972	1188248
35	7144	1183633
36	7333	1181923
37	7508	1178091
38	7691	1175591
39	7863	1171618
40	8017	1165206
41	8197	1162817
42	8368	1159274
43	8569	1160061
44	8728	1155027
45	8913	1153661
46	9097	1152302
47	9301	1153387
48	9471	1150347
49	9639	1147157
50	9790	1142034
51	10013	1145349
52	10239	1148935
53	10398	1144988
54	10589	1144604
55	10774	1143628
56	11002	1147162
57	11198	1147235
58	11334	1141305
59	11486	1137132
60	11647	1133977
61	11933	1142955
62	12133	1143414
63	12300	1140873
64	12514	1142671
65	12790	1150007
66	12993	1150587
67	13179	1149720
68	13358	1148226
69	13531	1146284
70	13712	1145081
71	13859	1141119
72	14048	1140636
73	14214	1138277
74	14375	1135690
75	14527	1132398
76	14696	1130516
77	14852	1127609
78	15015	1125411
79	15185	1123713
80	15326	1120005
81	15482	1117390
82	15662	1116563
83	15862	1117172
84	16050	1116928
85	16215	1115117
86	16395	1114303
87	16558	1112456
88	16757	1112940
89	16897	1109634
90	17057	1107644
91	17256	1108164
92	17423	1106673
93	17608	1106315
94	17787	1105642
95	17989	1106368
96	18172	1105872
97	18323	1103530
98	18489	1102109
99	18624	1098861
100	18808	1098547
101	18978	1097383
102	19123	1094845
103	19279	1093015
104	19445	1091731
105	19631	1091605
106	19794	1090192
107	19949	1088336
108	20108	1086801
109	20269	1085347
110	20444	1084655
111	20612	1083605
112	20774	1082302
113	20934	1080900
114	21086	1079061
115	21235	1077152
116	21394	1075740
117	21565	1074973
118	21730	1073922
119	21891	1072671
120	22056	1071652
121	22242	1071639
122	22400	1070325
123	22566	1069348
124	22731	1068401
125	22904	1067787
126	23066	1066687
127	23210	1064759
128	23352	1062795
129	23487	1060558
130	23641	1059159
131	23785	1057377
132	23958	1056882
133	24108	1055395
134	24269	1054392
135	24437	1053680
136	24605	1053010
137	24778	1052559
138	24942	1051707
139	25111	1051080
140	25190	1046741
141	25366	1046471
142	25523	1045401
143	25703	1045294
144	25845	1043610
145	26015	1043104
146	26210	1043601
147	26362	1042379
148	26532	1041871
149	26695	1041137
150	26859	1040390
151	27019	1039529
152	27179	1038671
153	27361	1038655
154	27411	1033689
155	27577	1033113
156	27745	1032609
157	27935	1032896
158	27983	1027999
159	28151	1027544
160	28310	1026746
161	28475	1026158
162	28639	1025573
163	28803	1024967
164	28961	1024190
165	29145	1024321
166	29313	1023866
167	29478	1023309
168	29621	1022028
169	29808	1022271
170	29906	1019458
171	30062	1018644
172	30229	1018185
173	30394	1017684
174	30570	1017569
175	30735	1017079
176	30904	1016699
177	31059	1015890
178	31259	1016548
179	31424	1016048
180	31576	1015163
181	31763	1015382
182	31952	1015674
183	32117	1015198
184	32285	1014814
185	32468	1014911
186	32656	1015143
187	32836	1015129
188	33015	1015089
189	33192	1014978
190	33350	1014316
191	33525	1014138
192	33695	1013838
193	33793	1011374
194	33963	1011067
195	34129	1010645
196	34305	1010544
197	34493	1010762
198	34658	1010314
199	34823	1009892
200	34996	1009675
201	35146	1008814
202	35307	1008254
203	35474	1007891
204	35639	1007466
205	35801	1006950
206	35969	1006618
207	36111	1005576
208	36196	1002928
209	36365	1002658
210	36541	1002546
211	36738	1003025
212	36885	1002135
213	37060	1002024
214	37210	1001219
215	37383	1001052
216	37544	1000546
217	37745	1001112
218	37922	1001054
219	38078	1000427
220	38228	999639
221	38405	999590
222	38575	999334
223	38742	999006
224	38913	998791
225	39050	997686
226	39205	997057
227	39374	996791
228	39529	996187
229	39636	994348
230	39805	994096
231	39967	993668
232	40170	994252
233	40345	994149
234	40522	994099
235	40707	994222
236	40914	994904
237	41098	995002
238	41246	994241
239	41402	993657
240	41566	993288
241	41718	992619
242	41861	991766
243	42035	991620
244	42216	991646
245	42361	990849
246	42501	989928
247	42663	989528
248	42839	989435
249	43013	989305
250	43159	988549
251	43342	988621
252	43524	988686
253	43709	988802
254	43872	988412
255	44024	987806
256	44179	987240
257	44355	987173
258	44469	985709
259	44634	985389
260	44793	984937
261	44941	984245
262	45117	984176
263	45360	985569
264	45525	985243
265	45693	984980
266	45860	984720
267	46049	984908
268	46206	984417
269	46359	983843
270	46543	983946
271	46722	983917
272	46906	984005
273	47088	984040
274	47233	983323
275	47409	983225
276	47666	984828
277	47848	984860
278	48034	984958
279	48193	984520
280	48354	984130
281	48518	983788
282	48686	983543
283	48734	980876
284	48937	981330
285	49083	980644
286	49235	980071
287	49410	979972
288	49559	979358
289	49735	979272
290	49956	980078
291	50157	980475
292	50347	980652
293	50503	980180
294	50674	979999
295	50844	979791
296	51047	980206
297	51234	980334
298	51431	980637
299	51604	980477
300	51785	980483
301	51944	980068
302	52152	980561
303	52346	980803
304	52578	981758
305	52886	984095
306	53100	984685
307	53333	985634
308	53529	985874
309	53733	986266
310	53940	986710
311	54120	986652
312	54322	986995
313	54492	986770
314	54647	986250
315	54829	986240
316	55009	986187
317	55188	986101
318	55357	985850
319	55536	985764
320	55730	985959
321	55918	986041
322	56088	985803
323	56270	985769
324	56456	985810
325	56654	986065
326	56837	986055
327	57022	986072
328	57233	986532
329	57438	986889
330	57588	986320
331	57761	986122
332	57938	985998
333	58137	986242
334	58341	986581
335	58572	987369
336	58808	988229
337	58998	988312
338	59203	988641
339	59385	988595
340	59563	988471
341	59747	988459
342	59905	988005
343	60106	988254
344	60268	987877
345	60446	987758
346	60622	987597
347	60794	987394
348	61007	987826
349	61095	986257
350	61248	985740
351	61451	986014
352	61635	985987
353	61844	986369
354	62013	986103
355	62217	986392
356	62308	984892
357	62525	985384
358	62701	985238
359	62865	984890
360	63030	984564
361	63208	984452
362	63393	984440
363	63594	984671
364	63769	984501
365	63927	984067
366	64091	983725
367	64264	983519
368	64443	983420
369	64612	983152
370	64726	982065
371	64985	983163
372	65317	985371
373	65496	985247
374	65676	985140
375	65860	985098
376	66028	984820
377	66203	984638
378	66362	984238
379	66527	983902
380	66679	983392
381	66875	983520
382	67020	982914
383	67206	982892
384	67367	982520
385	67558	982576
386	67736	982434
387	67938	982650
388	68141	982879
389	68319	982744
390	68535	983156
391	68794	984184
392	69034	984931
393	69244	985239
394	69429	985191
395	69624	985296
396	69785	984900
397	69994	985204
398	70168	984995
399	70364	985098
400	70540	984921
401	70694	984452
402	70878	984380
403	71038	983983
404	71222	983920
405	71407	983879
406	71548	983214
407	71704	982770
408	71866	982413
409	72012	981832
410	72189	981665
411	72361	981441
412	72549	981432
413	72753	981641
414	72966	981967
415	73187	982402
416	73418	982967
417	73645	983468
418	73850	983668
419	74061	983962
420	74232	983710
421	74413	983598
422	74571	983179
423	74728	982746
424	74902	982538
425	75075	982320
426	75266	982336
427	75457	982353
428	75621	982017
429	75786	981697
430	75946	981307
431	76124	981163
432	76303	981025
433	76483	980890
434	76658	980698
435	76820	980338
436	77003	980256
437	77160	979835
438	77362	979978
439	77530	979705
440	77711	979588
441	77920	979822
442	78081	979455
443	78249	979175
444	78414	978858
445	78573	978463
446	78775	978609
447	78965	978612
448	79169	978769
449	79316	978241
450	79494	978086
451	79675	977966
452	79900	978386
453	80196	979665
454	80430	980194
455	80632	980318
456	80871	980903
457	81050	980747
458	81233	980639
459	81429	980696
460	81618	980657
461	81809	980651
462	81983	980435
463	82166	980335
464	82392	980739
465	82583	980718
466	82769	980649
467	82929	980274
468	83105	980077
469	83301	980126
470	83452	979641
471	83628	979446
472	83819	979424
473	83998	979273
474	84143	978722
475	84317	978509
476	84501	978406
477	84640	977789
478	84818	977622
479	84973	977196
480	85150	977014
481	85314	976687
482	85472	976293
483	85617	975758
484	85784	975470
485	85914	974755
486	86089	974564
487	86261	974335
488	86424	974002
489	86609	973909
490	86780	973668
491	86927	973165
492	87098	972925
493	87287	972886
494	87444	972488
495	87645	972582
496	87845	972663
497	88056	972860
498	88264	973027
499	88459	973059
500	88618	972685
501	88815	972720
502	89034	973010
503	89195	972653
504	89383	972595
505	89574	972570
506	89761	972507
507	89935	972298
508	90127	972282
509	90344	972534
510	90520	972344
511	90686	972045
512	90889	972150
513	91090	972224
514	91270	972073
515	91458	972017
516	91609	971559
517	91788	971399
518	91963	971197
519	92149	971109
520	92370	971397
521	92541	971152
522	92713	970922
523	92904	970887
524	93096	970866
525	93289	970854
526	93483	970849
527	93663	970696
528	93849	970604
529	94032	970485
530	94220	970420
531	94404	970304
532	94552	969827
533	94731	969666
534	94900	969399
535	95061	969060
536	95247	968966
537	95418	968728
538	95605	968647
539	95789	968537
540	95989	968584
541	96149	968237
542	96330	968096
543	96508	967921
544	96700	967887
545	96886	967804
546	97068	967670
547	97239	967428
548	97424	967322
549	97586	966995
550	97755	966728
551	97919	966426
552	98131	966589
553	98311	966434
554	98467	966041
555	98641	965833
556	98827	965742
557	99005	965573
558	99191	965479
559	99381	965424
560	99562	965279
561	99773	965423
562	99969	965426
563	100120	964991
564	100302	964854
565	100482	964699
566	100672	964640
567	100829	964267
568	101028	964301
569	101195	964024
570	101404	964138
571	101579	963936
572	101756	963758
573	101931	963558
574	102096	963256
575	102279	963134
576	102466	963043
577	102646	962883
578	102802	962506
579	102976	962293
580	103154	962120
581	103321	961850
582	103512	961796
583	103658	961325
584	103869	961454
585	104052	961326
586	104215	961018
587	104385	960769
588	104591	960858
589	104751	960513
590	104922	960278
591	105126	960347
592	105296	960100
593	105478	959963
594	105658	959807
595	105837	959640
596	106019	959505
597	106193	959289
598	106380	959203
599	106531	958785
600	106699	958523
601	106894	958499
602	107067	958280
603	107217	957854
604	107377	957522
605	107544	957253
606	107708	956955
607	107887	956793
608	108070	956663
609	108215	956203
610	108363	955761
611	108529	955488
612	108688	955150
613	108870	955012
614	109067	955003
