NAME,B01003_001E,B19013_001E,B25064_001E,B25077_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B23025_003E,B23025_005E,state,county,tract
"Census Tract 4515.03, Alameda County, California",5588,85735,1206,462000,803,274,40,148,3141,160,06,001,451503
"Census Tract 4093, Alameda County, California",5191,34988,1139,193900,224,21,13,0,2458,396,06,001,409300
"Census Tract 4097, Alameda County, California",5431,36899,1157,204300,162,75,0,0,2465,359,06,001,409700
"Census Tract 4513, Alameda County, California",7124,99911,2014,481500,1170,370,151,48,3926,163,06,001,451300
"Census Tract 4024, Alameda County, California",2958,29835,871,408100,364,135,19,7,1531,248,06,001,402400
"Census Tract 4043, Alameda County, California",3397,178385,1627,1082500,875,614,390,197,1892,102,06,001,404300
"Census Tract 4048, Alameda County, California",2911,59375,1074,658800,655,277,121,23,1560,164,06,001,404800
"Census Tract 4062.02, Alameda County, California",4666,31402,978,298100,474,50,0,0,2378,338,06,001,406202
"Census Tract 4064, Alameda County, California",2305,55637,1235,372700,266,176,60,6,899,93,06,001,406400
"Census Tract 4070, Alameda County, California",5847,39860,1089,327800,222,198,62,34,2978,338,06,001,407000
"Census Tract 4072, Alameda County, California",6565,37695,1020,263400,328,141,10,16,3262,351,06,001,407200
"Census Tract 4074, Alameda County, California",4517,39953,1025,256000,129,41,18,0,2035,339,06,001,407400
"Census Tract 4083, Alameda County, California",4557,81648,960,373300,583,364,129,102,2630,299,06,001,408300
"Census Tract 4101, Alameda County, California",2916,50000,1075,297900,301,77,32,3,1340,218,06,001,410100
"Census Tract 4206, Alameda County, California",2926,107875,1500,761600,726,521,182,148,1496,70,06,001,420600
"Census Tract 4211, Alameda County, California",2101,148750,2663,910200,429,480,166,268,1060,40,06,001,421100
"Census Tract 4214, Alameda County, California",1743,132250,1804,964100,436,334,129,181,903,61,06,001,421400
"Census Tract 4221, Alameda County, California",2420,57865,1368,599900,580,262,138,117,1504,87,06,001,422100
"Census Tract 4237, Alameda County, California",4048,54487,1117,1046100,734,509,263,183,1972,153,06,001,423700
"Census Tract 4238, Alameda County, California",3074,135278,2043,1207900,755,608,378,387,1550,72,06,001,423800
"Census Tract 4262, Alameda County, California",4885,181012,2011,1262800,1139,803,546,187,2515,106,06,001,426200
"Census Tract 4280, Alameda County, California",3116,66621,1298,493400,878,229,75,44,1935,282,06,001,428000
"Census Tract 4303, Alameda County, California",3606,99277,1894,632200,508,214,82,91,1754,74,06,001,430300
"Census Tract 4312, Alameda County, California",5520,54764,1466,329900,1001,539,51,13,3133,374,06,001,431200
"Census Tract 4321, Alameda County, California",3789,94583,1314,489400,846,280,125,163,2353,119,06,001,432100
"Census Tract 4323, Alameda County, California",4778,72299,1155,373400,955,189,75,29,2722,195,06,001,432300
"Census Tract 4326, Alameda County, California",7275,57340,1256,302200,983,218,92,31,4191,417,06,001,432600
"Census Tract 4005, Alameda County, California",3651,76038,1356,611300,1130,506,88,80,2445,159,06,001,400500
"Census Tract 4016, Alameda County, California",1966,37946,1083,333300,225,194,12,13,1082,91,06,001,401600
"Census Tract 4025, Alameda County, California",1907,19042,683,279300,150,18,6,0,749,191,06,001,402500
"Census Tract 4039, Alameda County, California",3983,63624,1301,356500,1010,662,260,139,2599,235,06,001,403900
"Census Tract 4076, Alameda County, California",6104,46818,970,289600,513,118,99,15,2859,236,06,001,407600
"Census Tract 4084, Alameda County, California",3517,32283,1243,146400,221,76,10,14,1587,266,06,001,408400
"Census Tract 4089, Alameda County, California",3228,23081,1085,202700,97,32,0,9,1298,230,06,001,408900
"Census Tract 4433.01, Alameda County, California",4114,136250,2228,774000,852,662,35,84,2075,135,06,001,443301
"Census Tract 4507.42, Alameda County, California",4629,115000,1929,716500,1027,631,52,141,2344,106,06,001,450742
"Census Tract 4516.01, Alameda County, California",5222,134517,1594,768400,1388,445,58,157,3083,164,06,001,451601
"Census Tract 4517.01, Alameda County, California",2904,102763,2016,491500,430,94,17,16,1572,113,06,001,451701
"Census Tract 4006, Alameda County, California",1665,60804,1229,466700,395,190,44,77,1092,163,06,001,400600
"Census Tract 4012, Alameda County, California",2496,78203,1336,608500,712,434,89,79,1845,218,06,001,401200
"Census Tract 4031, Alameda County, California",1831,59250,888,386000,351,178,39,30,856,60,06,001,403100
"Census Tract 4038, Alameda County, California",3372,86250,1479,750000,1177,652,275,83,2461,122,06,001,403800
"Census Tract 4040, Alameda County, California",2812,72870,1246,397600,854,563,141,108,2164,143,06,001,404000
"Census Tract 4045.01, Alameda County, California",1772,176058,1864,965200,488,294,188,136,981,86,06,001,404501
"Census Tract 4051, Alameda County, California",4248,188769,1500,995600,1120,751,425,186,2282,102,06,001,405100
"Census Tract 4057, Alameda County, California",3352,40614,1011,369800,200,107,38,41,1724,305,06,001,405700
"Census Tract 4058, Alameda County, California",4181,43278,1164,272700,386,140,12,12,2052,187,06,001,405800
"Census Tract 4069, Alameda County, California",3856,62083,1366,555200,658,402,115,62,2066,172,06,001,406900
"Census Tract 4366.02, Alameda County, California",5407,41914,1169,357800,388,168,31,31,2878,257,06,001,436602
