,fold_0,fold_1,fold_2,fold_3,fold_4,mean_pvc
days_since_prev_sale,8.81808719561401,13.649841733370202,9.88745782298235,6.445692568123573,4.363692222809697,8.632954308579967
finishedsquarefeet12,5.97342731350085,7.940721747177025,6.909145715170281,4.980318883837112,5.104606445937361,6.181644021124526
taxamount,3.5643924274270073,5.659631841502199,5.480357422055601,6.760522816207131,4.730917922150976,5.239164485868583
calculatedfinishedsquarefeet,4.602892541401173,4.629873588370738,5.855293903554199,5.175682767131167,3.8675003433322903,4.826248628757914
te_regionidzip,4.180533737670082,4.4047730019167375,4.312647153721339,3.5873282081734947,4.404841090644991,4.178024638425329
taxrate_x_land,1.99673339631151,3.016851397236411,5.714045825379227,5.4079513080878066,4.044889090702188,4.036094203543429
effective_tax_rate,1.514031145060123,3.054494631980455,3.0424006603552787,2.7794538761971777,2.94915515099287,2.6679070929171806
space_efficiency,1.5969852035167964,2.2999692557177918,1.4072906622249572,2.707460930008173,1.9920785595869284,2.00075692221093
tax_per_sqft,2.280291000878605,1.7429053245019475,1.2085349323292667,1.7434027376719725,2.4890244225884373,1.8928316835940457
regionidzip,1.4919463722292197,2.6470353258131984,1.9980989445291444,1.7454768332211275,1.4714282704145072,1.8707971492414395
age_x_sqft,2.351264404567576,1.1528255647365875,1.6234074934219895,1.9175172054762801,2.2745746500791983,1.8639178636563265
propertyzoningdesc,1.2134044169469318,2.11022349542396,2.0780921403127475,1.8999733309552742,1.1650823094784009,1.6933551386234629
censustractandblock,0.8825176458081434,2.069132934507422,1.3196567729340085,1.8086515570639001,1.4250031238678629,1.5009924068362674
lotsizesquarefeet,1.5896731638772204,0.9536915424438658,1.045205812919905,1.5132613154605905,2.374947109766448,1.495355788893606
months_since_2016,1.3470694507907632,1.474989470760411,0.9228979971328872,2.6493000396954325,1.071237797666395,1.4930989512091777
taxrate_x_structure,2.1120144316823906,0.5430978206512991,1.0722211399822725,1.4074758803229015,1.6446395865973549,1.3558897718472438
te_regionidneighborhood,1.6948088389407416,0.6180756458774342,1.7263630883230625,1.6474344677308477,1.048996894516506,1.3471357870777183
taxdelinquencyyear,0.681785053129391,2.103590415167337,0.9418387406398633,1.227084440780031,1.3158501131726261,1.2540297525778497
bath_per_bed,1.1698069784462255,1.3656864368873096,1.7631255309814338,1.0318999545033427,0.7265330769307685,1.211410395549816
poolcnt,0.7979820906391223,1.3362402520432148,1.5559926297930642,1.6013284354753745,0.3426232010883662,1.1268333218078284
geo_cluster_50__lotsizesquarefeet__mean,0.8162038633847958,1.818702119493968,0.8982822129510752,1.2645938762756135,0.6758551361494515,1.094727441650981
lot_to_building,1.6406658743112168,0.6849271135618171,0.36722569702594243,0.829568630391505,1.8306066890477288,1.0705988008676421
structuretaxvaluedollarcnt,1.6553850106290757,0.2374802190296169,0.5158031913657425,0.9986028797878767,1.6227447568095772,1.0060032115243778
rawcensustractandblock,0.640924215709244,0.6579461220916983,0.9463275836538946,1.6308295900414036,1.0286334558047465,0.9809321934601976
geo_cluster_50__taxvaluedollarcnt__mean,0.8508759471411853,1.0094499811179594,0.5252326373670295,1.4794358626380564,0.9847654317443448,0.969951972001715
cos_month,0.5017851163589034,1.6794693499630764,0.8886512005063115,0.9449563667953338,0.6362612522217099,0.930224657169067
propertycountylandusecode,0.7902820114918953,1.2179754696554386,0.8284991144745674,0.868062673084886,0.900968340409859,0.9211575218233292
geo_cluster_50__taxvaluedollarcnt__median,0.9813284327380417,1.1915959987230358,0.6306676329590728,1.1868708653061575,0.6116685954019758,0.9204263050256566
sqft_per_room,1.2391683819483632,0.7932591919211227,0.7800842921811667,1.1262721655162238,0.6459041531463,0.9169376369426352
calculatedbathnbr,0.8141987446671737,1.0178055757643207,0.9671573868718044,1.2803934268623955,0.4360908340157479,0.9031291936362885
poolcnt__isna,0.6809781239628009,1.1321536894910282,0.8801475694680715,0.8961608029778898,0.7410401505787315,0.8660960672957044
sin_month,0.7697110622940145,1.1318940591695479,1.1491505553882266,0.6079780843439678,0.5758579345072535,0.8469183391406021
landtaxvaluedollarcnt,1.8021786724515207,0.17258500502086074,0.36229300546979143,0.46878240262728144,1.3756272268425327,0.8362932624823974
bathroomcnt,0.8422879657481229,0.6677298235209798,0.9499049137170155,0.9953655453447648,0.7161400084027406,0.8342856513467247
propertycountylandusecode__bedroomcnt__mean,0.7050678000421962,0.9685771844202581,0.588324395843214,0.512292768512469,1.3184837095934434,0.8185491716823161
trans_month,0.6488900872538464,0.9385125457992448,1.0145697527994646,0.9510152265321822,0.4298696331703242,0.7965714491110125
home_age,1.2210296941025107,0.38821142443093953,0.5330806951912113,0.35726013716083055,1.2759172668620473,0.7550998435495079
bedroomcnt,0.6840564964727686,1.1417127845342006,0.4714913257830316,0.6816634782192331,0.7252138019403974,0.7408275773899262
te_propertylandusetypeid,0.7665118865522464,0.726285574894375,0.46126083547602664,0.8015262703373972,0.8867554080691216,0.7284679950658333
geo_cluster_50__calculatedfinishedsquarefeet__mean,0.7805357930223557,1.2535845846256075,0.8196676487060387,0.27446675995833475,0.5093689012401753,0.7275247375105024
propertycountylandusecode__bathroomcnt__mean,0.8633422213701212,0.41159644241116516,0.8789875280515816,0.1683930509975794,1.2668578410844995,0.7178354167829895
propertycountylandusecode__bedroomcnt__median,0.3567741247045487,0.8489551117694689,1.0157114168978454,0.8018003243995269,0.5280646751566417,0.7102611305856062
rooms_per_1k_sqft,0.6806475159911054,0.586602603435796,0.7797825730906418,0.7548674033298409,0.744751990555211,0.7093304172805192
fullbathcnt,0.7203451151954693,0.8571959509262634,0.3212439242845674,0.797156729106847,0.8154214482668154,0.7022726335559926
land_ratio,0.754835349167323,0.1678277966855288,0.3733423322396941,0.6304088559712518,1.1951248289315144,0.6243078325990624
regionidcity,0.9383667619027622,0.634701428149242,0.5195699359591119,0.5533244985391194,0.45613229936668637,0.6204189847833843
grid_density,0.4770049295146693,0.6499092340573016,0.40121243638697957,0.21029417304130257,1.0448959271155833,0.5566633400231673
regionidneighborhood,0.6080922172174071,0.20935576879394843,0.8194608896623827,0.6683362969772758,0.4668821634069006,0.5544254672115829
propertylandusetypeid,0.5285729609695424,0.53246107593377,0.633613483413671,0.6580455407564574,0.410219868392413,0.5525825858931708
yearbuilt,0.5016309049722515,0.08152789398941254,0.7140040761976373,0.47775812868988116,0.8436571641186827,0.523715633593573
taxvaluedollarcnt,0.43454796564163817,0.18436301144978537,0.42261057210252523,0.6174741823079207,0.9546610866407015,0.5227313636285141
structure_ratio,0.6736850578416979,0.060021529063404605,0.39953536652433025,0.45873362123536476,0.9969276948393165,0.5177806539008227
propertycountylandusecode__lotsizesquarefeet__mean,0.3771916804840462,0.4891635007837543,0.5073387304963806,0.7401546443966054,0.26746262518553215,0.4762622362692638
propertycountylandusecode__bathroomcnt__median,0.6399753654669883,0.22574899757769207,0.6862304053820812,0.5247184251900433,0.2511764148875298,0.4655699217008669
geo_cluster_20,0.5358143227430121,0.3339536117646462,0.49303320817839175,0.4539788488800083,0.4519013517441969,0.4537362686620511
propertycountylandusecode__taxvaluedollarcnt__median,0.579739219069026,0.19849692827002063,0.5720608392309663,0.38228781924918764,0.5261676706320096,0.4517504952902421
dist_regionidcity_centroid_km,0.49002327957759034,0.05307733969770396,0.19696832347540136,0.3977502012349487,0.9988736778763725,0.42733856437240336
propertycountylandusecode__calculatedfinishedsquarefeet__mean,0.3618489072806965,0.3388518090592897,0.5872634388465305,0.4868953406741463,0.3578187099305886,0.42653564115825027
