,mean_gain,std_gain,mean_split,std_split,gain_stability
lotsizesquarefeet,128834.58384242802,17159.885680044346,16762.0,2701.3843673198376,0.1331931626451367
finishedsquarefeet12,125137.64870584011,13854.856359598445,12334.0,1966.277828792259,0.11071693053915227
dist_regionidzip_centroid_km,118489.63556498886,19809.119159745132,16142.8,2964.986290018893,0.16718018470804236
tax_per_sqft,109402.66556501985,14775.750473454083,13904.2,2203.2239332396516,0.13505841377028657
structuretaxvaluedollarcnt,106043.10536375642,14100.537559511778,13651.8,2273.1716169264473,0.13296986646271633
dist_regionidcity_centroid_km,103829.5783323884,14047.226544155417,14010.8,2244.629969504996,0.1352911835891777
age_x_sqft,103345.93070622087,13098.297797518113,13139.0,2053.766783254613,0.12674226946343034
effective_tax_rate,97304.86052788496,9481.3983097505,12247.8,1844.6676394407748,0.09744013051673213
taxrate_x_land,95926.77329880596,11594.672049286533,12135.6,2151.9459333356867,0.12087003086373645
taxamount,95849.68615156412,10534.965621032485,11385.8,1742.4599564982836,0.10991132098620306
lot_to_building,94893.9579037249,14001.89133953723,12449.2,2159.5765094110466,0.1475530333948283
te_regionidzip,94759.11792029142,9402.485013992873,10612.4,1517.061732428842,0.09922512176507357
space_efficiency,94015.52527148723,15080.941161187488,12040.8,2309.401697409959,0.16040905071409084
sqft_per_room,92007.73550933003,15328.975779876806,12373.8,2261.2835293257676,0.1666052935116603
calculatedfinishedsquarefeet,91390.02606313229,10505.71894155876,9684.4,1472.368941536054,0.11495476469500351
grid_density,87478.43962403535,10827.223977480826,11644.6,1717.8008615669046,0.12377020010888178
landtaxvaluedollarcnt,74894.97386804223,11595.278892761715,9820.2,1730.0126300117004,0.15482052124338727
taxrate_x_structure,74678.3121194005,13121.533750702421,9895.6,1945.3465758059667,0.17570742265466727
yearbuilt,73018.09901004285,8439.129517438105,9410.4,1386.1519757948622,0.11557585902470892
taxvaluedollarcnt,66364.1947393775,9840.29391927816,8645.6,1526.6731149791037,0.14827715393701438
rooms_per_1k_sqft,62983.760989904404,11045.675625083953,8398.2,1643.9837894577915,0.17537338913204467
structure_ratio,62002.33436253667,6174.123148443954,8411.0,1056.5725247232203,0.09957888218114438
regionidzip__bedroomcnt__mean,56582.03155043721,7218.313969813648,7516.6,1166.8891549757413,0.1275725485992487
te_regionidcity,53554.29546872377,5662.757670360406,6242.0,877.2827366362568,0.1057386269541433
propertyzoningdesc,51685.96962741613,5979.659154964735,6671.8,928.4455826810745,0.11569211525039762
home_age,50296.04984873533,6973.905831910296,6596.2,1110.0525663228746,0.13865712820157516
regionidzip__lotsizesquarefeet__median,49939.06938832998,7340.098505332275,6422.8,1089.791126776136,0.14698108305250232
months_since_2016,49901.03745000363,7220.740037238163,5812.0,1027.9768966275458,0.14470120074099163
bath_per_bed,49403.37122685909,7253.859531472807,6542.0,1124.07450820664,0.14682924163538943
regionidzip__lotsizesquarefeet__mean,49084.37767711878,6815.581200842743,6381.4,1032.3566728606932,0.13885438755432186
dist_la_cbd_km,48786.40546499342,6720.650104254888,6449.2,1080.7898500633692,0.13775661560218652
regionidzip__bathroomcnt__mean,47751.98872619867,7098.924630976088,6194.2,1049.045137255781,0.14866238706158524
land_ratio,46420.25594752431,9769.371319819209,6183.4,1436.0902826772417,0.21045492146490688
regionidzip__taxvaluedollarcnt__median,44407.381178307536,6334.732581693248,5517.6,886.2044346537655,0.14265044264277088
cos_month,43957.30275554657,8450.083108414081,4557.0,868.3746311356637,0.19223388558220672
regionidzip__calculatedfinishedsquarefeet__mean,43380.28723372221,5589.918132397446,5589.2,865.2292759725598,0.12885848593576774
x,42666.80966575742,6864.181857047353,5662.6,1013.126004009373,0.1608787230828427
te_regionidneighborhood,42267.82168049812,5814.027987960951,5124.2,806.7541137174325,0.13755210836053328
regionidzip__calculatedfinishedsquarefeet__median,42262.93465977311,5601.591964548927,5452.4,860.8244884992527,0.1325414813155257
regionidzip__taxvaluedollarcnt__mean,42049.175315189364,6089.865985914123,5043.4,820.3312135960695,0.14482723954190943
regionidcity__bedroomcnt__mean,40036.597476780415,5715.552525512033,5163.2,848.7123776639528,0.14275819839149398
regionidneighborhood,38471.81261606216,5316.72213755418,4975.2,813.8941577379702,0.13819785905624427
days_since_prev_sale,36611.0206196785,9520.341550289737,1617.2,358.61288320415935,0.2600403208964334
garagetotalsqft,35627.621362811326,6005.058930046412,4787.6,892.8834190419262,0.1685506553719273
trans_month,35192.75800631046,5074.187658608739,4191.6,644.6253175294933,0.14418272241401023
geo_cluster_50__bedroomcnt__mean,34812.51145272255,4576.2269555261455,4592.4,707.946890663417,0.13145351382475287
regionidcity__lotsizesquarefeet__median,34801.55665096045,4241.621839912148,4436.2,680.9094653476334,0.12188023318761146
latitude,34216.51056494117,5724.8934988182855,4493.8,820.5124618188319,0.16731377350566068
longitude,33602.32769646049,5578.283099995006,4475.0,818.2777645763082,0.16600882981630277
geo_cluster_50__taxvaluedollarcnt__mean,33485.9750856638,4226.0144316319165,3449.4,474.6159500058969,0.12620251973608854
geo_cluster_50__taxvaluedollarcnt__median,33462.35910662413,3972.938458702836,3893.2,577.9971453216702,0.11872858234657986
regionidcity__lotsizesquarefeet__mean,32566.241526818274,4737.126662987209,4202.8,684.4513861480596,0.14546126420774513
regionidcity,32398.025999057292,4446.241358184252,4194.6,653.4996556999859,0.13723803290707448
geo_cluster_50__lotsizesquarefeet__median,31842.94741792679,4349.296757175837,4056.4,623.8547907967045,0.13658587253533966
geo_cluster_50__lotsizesquarefeet__mean,31117.428159427644,4347.768449234089,4065.6,673.2899078405973,0.13972133001986053
regionidcity__bathroomcnt__mean,31003.686153578758,3551.288102608009,4013.4,558.4570708657918,0.11454406050349397
regionidcity__taxvaluedollarcnt__mean,30879.406677520274,4712.412372854281,3846.8,658.6339651126414,0.15260695977955163
regionidcity__taxvaluedollarcnt__median,30839.505260574817,4582.17147971483,3945.8,663.2399264218041,0.1485812253146352
regionidzip,30838.28099954724,3958.337763828428,3885.6,580.518130638484,0.12835792513484326
geo_cluster_50__calculatedfinishedsquarefeet__mean,29739.910628664493,3579.353539087593,3718.4,544.6928492278929,0.12035522176843626
y,29667.003382235765,4812.0135740774385,3892.6,722.615596288926,0.16220086377032575
te_propertycountylandusecode,29134.685344040394,4607.098728705751,3716.4,703.5746584407373,0.15813106180144718
geo_cluster_50__bathroomcnt__mean,28573.07637656927,3916.170530979077,3631.4,595.0263019396706,0.13705806400983397
regionidcity__calculatedfinishedsquarefeet__mean,28453.805836105348,3706.6285509376607,3635.4,553.6648805911389,0.13026828721214426
regionidcity__calculatedfinishedsquarefeet__median,27724.162049043178,3821.5919152854767,3611.4,599.9844164642946,0.13784336956780951
sin_month,27618.8415892601,8191.831043590901,3542.6,1039.4146429601615,0.29660299173349186
censustractandblock,26774.832096874714,3314.142082298123,3281.2,492.3913078030521,0.12377825826529563
geo_cluster_50__calculatedfinishedsquarefeet__median,26251.115521478652,3904.973846742219,3397.8,580.5903891729521,0.14875458696395905
propertycountylandusecode__bedroomcnt__mean,25861.813101363183,2930.538122932453,2915.2,374.3637268753478,0.11331526182813727
buildingqualitytypeid,24771.764909911155,5968.135037490623,3456.0,889.2257868505613,0.24092490216958137
geo_cluster_50,24338.623458194732,3558.149420429244,3169.6,519.8007310498899,0.1461935358233978
te_propertylandusetypeid,23610.108254897594,4631.549989696932,2600.6,433.1821787654705,0.19616809629554405
