,fold_0,fold_1,fold_2,fold_3,fold_4,mean_gain
days_since_prev_sale,21.51576042175293,24.120933532714844,18.899930953979492,18.043014526367188,21.3411808013916,20.784164047241212
poolcnt,18.150470733642578,16.706680297851562,16.737043380737305,19.026185989379883,17.84440040588379,17.692956161499023
poolcnt__isna,16.30083465576172,16.016265869140625,19.575824737548828,17.269643783569336,15.434429168701172,16.919399642944335
pooltypeid2,11.27219295501709,10.6151123046875,12.331624984741211,12.496491432189941,13.757193565368652,12.094523048400879
taxdelinquencyflag__isna,11.291348457336426,11.058473587036133,11.992329597473145,11.91870403289795,12.313945770263672,11.714960289001464
pooltypeid2__isna,10.823490142822266,9.651806831359863,12.518815994262695,12.677066802978516,11.91264820098877,11.516765594482422
taxdelinquencyyear__isna,12.245634078979492,11.457184791564941,13.366876602172852,10.7367582321167,8.319258689880371,11.225142478942871
propertycountylandusecode__bedroomcnt__median,10.455341339111328,9.762879371643066,10.47451114654541,11.016824722290039,12.47397518157959,10.836706352233886
fullbathcnt,11.730681419372559,10.183632850646973,8.70369815826416,12.646883010864258,10.466903686523438,10.746359825134277
finishedsquarefeet12__isna,9.660995483398438,8.779397964477539,9.763047218322754,11.307241439819336,11.97830867767334,10.297798156738281
taxdelinquencyyear,9.887415885925293,9.631308555603027,9.45968246459961,9.598986625671387,10.381447792053223,9.791768264770507
finishedsquarefeet12,9.575422286987305,9.790253639221191,9.29481029510498,9.79022216796875,10.244644165039062,9.739070510864257
hashottuborspa,9.09071159362793,8.941943168640137,9.748306274414062,9.784143447875977,10.573404312133789,9.627701759338379
geo_cluster_50__taxvaluedollarcnt__mean,9.131135940551758,9.036248207092285,8.271806716918945,11.037846565246582,8.719816207885742,9.239370727539063
hashottuborspa__isna,8.360074996948242,9.232992172241211,10.317856788635254,9.259469985961914,8.995973587036133,9.23327350616455
propertycountylandusecode__bathroomcnt__median,8.504345893859863,9.341602325439453,9.886533737182617,7.611116409301758,9.178117752075195,8.904343223571777
poolsizesum__isna,10.379011154174805,9.055689811706543,8.061806678771973,9.224567413330078,7.752034664154053,8.89462194442749
finishedsquarefeet15__isna,6.086604118347168,0.0,9.628850936889648,17.706151962280273,10.98322582244873,8.880966567993164
cos_month,8.745689392089844,8.600397109985352,6.687164306640625,8.935136795043945,11.311779975891113,8.856033515930175
calculatedfinishedsquarefeet,8.847366333007812,7.922646522521973,9.200546264648438,9.58493709564209,8.722329139709473,8.855565071105957
te_propertylandusetypeid,10.314412117004395,8.354461669921875,7.40321683883667,8.060599327087402,8.635296821594238,8.553597354888916
propertylandusetypeid,8.242975234985352,9.079435348510742,8.322629928588867,8.647163391113281,8.43411636352539,8.545264053344727
propertycountylandusecode__bedroomcnt__mean,8.563478469848633,7.842859268188477,9.342191696166992,8.775022506713867,8.01425552368164,8.507561492919923
te_regionidzip,8.163050651550293,8.314023971557617,8.267047882080078,8.296070098876953,8.76350212097168,8.360738945007324
calculatedbathnbr,8.218206405639648,7.423746585845947,8.72425365447998,8.195029258728027,8.012141227722168,8.114675426483155
pooltypeid7__isna,7.984173774719238,5.880434513092041,8.570734977722168,7.004021167755127,11.050537109375,8.097980308532716
propertycountylandusecode__calculatedfinishedsquarefeet__mean,8.079216003417969,7.930977821350098,7.834284782409668,8.75186538696289,7.831159591674805,8.085500717163086
geo_cluster_50__taxvaluedollarcnt__median,8.201533317565918,7.733451843261719,7.826968193054199,8.080613136291504,8.333521842956543,8.035217666625977
taxamount,7.739054203033447,7.808812618255615,7.897946357727051,8.324292182922363,8.251026153564453,8.004226303100586
te_regionidneighborhood,8.01831340789795,7.866161823272705,8.152902603149414,8.136579513549805,7.815086364746094,7.997808742523193
te_regionidcity,7.828343391418457,7.746313095092773,7.9876251220703125,7.986377716064453,8.088902473449707,7.927512359619141
months_since_2016,7.45231819152832,7.3188252449035645,8.928191184997559,9.025216102600098,6.794014930725098,7.903713130950928
propertycountylandusecode__calculatedfinishedsquarefeet__median,7.915395259857178,7.5023322105407715,7.595740795135498,8.19364070892334,8.229740142822266,7.887369823455811
trans_qtr,7.934601783752441,8.68169116973877,8.079147338867188,7.3235673904418945,6.855316638946533,7.774864864349365
yardbuildingsqft17__isna,10.865095138549805,5.929141044616699,7.145927906036377,7.799437522888184,7.062990188598633,7.760518360137939
regionidzip__taxvaluedollarcnt__mean,7.564137935638428,7.645643711090088,7.601841926574707,7.837776184082031,7.597440242767334,7.649368000030518
bathroomcnt,7.956753253936768,7.50712251663208,7.861730098724365,7.588961601257324,7.324310779571533,7.647775650024414
finishedsquarefeet6__isna,10.77094841003418,5.664348602294922,6.890020370483398,6.332930564880371,8.449455261230469,7.621540641784668
numberofstories__isna,4.829026699066162,5.945970058441162,9.018529891967773,11.410575866699219,6.551727294921875,7.551165962219239
censustractandblock,7.486971855163574,7.412182331085205,7.4959845542907715,7.735167503356934,7.510890960693359,7.528239440917969
