number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_border_count,params_depth,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_random_strength,params_rsm,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.059893499801568884,2025-08-28 21:34:56.472631,2025-08-28 21:37:08.427167,0 days 00:02:11.954536,,MVS,226,8,0.0060252157362038605,7,0.0024348773534554596,0.05808361216819946,0.8540362888980227,,,,COMPLETE
1,0.059989816225699766,2025-08-28 21:37:08.549650,2025-08-28 21:38:08.133209,0 days 00:00:59.583559,,MVS,149,5,0.008260808399079604,5,0.002820996133514492,0.3042422429595377,0.645614570099021,,0.05846838143149218,0.060954395975101265,COMPLETE
2,,2025-08-28 21:38:08.179622,2025-08-28 21:38:46.417386,0 days 00:00:38.237764,,Bernoulli,147,6,8.431013932082463,6,0.013481575603601416,0.19967378215835974,0.8037724259507192,0.5232252063599989,,,FAIL
3,0.059893499801568884,2025-08-29 04:11:38.304903,2025-08-29 04:13:20.543390,0 days 00:01:42.238487,,MVS,226,8,0.0060252157362038605,7,0.0024348773534554596,0.05808361216819946,0.8540362888980227,,0.058361208359108574,0.06085390226843787,COMPLETE
4,0.05846838143149218,2025-08-29 04:13:20.639819,2025-08-29 04:13:40.760650,0 days 00:00:20.120831,,MVS,149,5,0.008260808399079604,5,0.002820996133514492,0.3042422429595377,0.645614570099021,,0.05846838143149218,,PRUNED
5,0.05966123232607691,2025-08-29 04:13:40.785681,2025-08-29 04:14:35.086398,0 days 00:00:54.300717,,Bernoulli,147,6,8.431013932082463,6,0.013481575603601416,0.19967378215835974,0.8037724259507192,0.5232252063599989,0.05811356417366564,0.06065631429197328,COMPLETE
6,0.05833450341684217,2025-08-29 04:14:35.110072,2025-08-29 04:14:45.997194,0 days 00:00:10.887122,0.12203823484477883,Bayesian,185,10,0.03334792728637585,5,0.10057690178153984,0.09767211400638387,0.7475884550556351,,0.05833450341684217,,PRUNED
7,0.06068629894432236,2025-08-29 04:14:46.020833,2025-08-29 04:15:55.548890,0 days 00:01:09.528057,,MVS,73,8,0.3984190594434688,10,0.005917607170144194,0.5467102793432796,0.8875664116805573,,0.058188623328985514,0.06068629894432236,PRUNED
8,0.05994819094606847,2025-08-29 04:15:55.576477,2025-08-29 04:18:33.068339,0 days 00:02:37.491862,,Bernoulli,104,10,0.009548041810464166,4,0.0016565580440884786,0.045227288910538066,0.9143687545759647,0.6356745158869479,0.060875565941599936,,COMPLETE
9,0.059633330420609656,2025-08-29 04:18:33.092891,2025-08-29 04:18:57.115975,0 days 00:00:24.023084,0.005522117123602399,Bayesian,204,4,0.0023591373063477136,2,0.09708210658008562,0.9868869366005173,0.9077307142274171,,0.0606149546284571,,COMPLETE
10,0.05834278559439819,2025-08-29 04:18:57.141046,2025-08-29 04:19:16.033806,0 days 00:00:18.892760,0.06355835028602363,Bayesian,171,4,0.0037961668958008117,4,0.007726148927746463,0.8631034258755935,0.6554911608578311,,0.05834278559439819,,PRUNED
11,0.059676642552212965,2025-08-29 04:19:16.057247,2025-08-29 04:19:38.182362,0 days 00:00:22.125115,0.8343651603570655,Bayesian,160,6,0.002498047170344984,2,0.11153056796364788,0.947208271958736,0.8966794626099522,,0.058092051467004635,0.0606445455828993,COMPLETE
12,0.0596099515434125,2025-08-29 04:19:38.205330,2025-08-29 04:20:44.974370,0 days 00:01:06.769040,,MVS,89,7,31.42286827354039,5,0.013059640793545168,0.08668525542760808,0.790053569960359,,0.05808495042108224,0.0606033347195375,COMPLETE
13,0.06066140218904422,2025-08-29 04:20:45.001236,2025-08-29 04:21:11.445914,0 days 00:00:26.444678,0.4709142994872167,Bayesian,248,4,0.0017900228646728165,4,0.07245998209110184,0.7632569129869937,0.9789077272514676,,0.06066140218904422,,PRUNED
14,0.061033718770324166,2025-08-29 04:21:11.471425,2025-08-29 04:22:08.981427,0 days 00:00:57.510002,,MVS,131,7,60.19831401378499,6,0.0014394159527556627,0.009442435067429353,0.8132823476805772,,0.061033718770324166,,PRUNED
15,0.0596031160116068,2025-08-29 04:22:09.007985,2025-08-29 04:23:31.951468,0 days 00:01:22.943483,,MVS,108,8,28.00995813190858,3,0.015401082376497134,0.2029444676386548,0.6502690173101956,,0.06059065820764097,,COMPLETE
16,0.059629559340494874,2025-08-29 04:23:31.975987,2025-08-29 04:24:27.796227,0 days 00:00:55.820240,,MVS,71,8,3.5118545167175013,6,0.026458289297466294,0.3177097181938553,0.5995717038586936,,0.05807340546162328,0.060609663128340714,COMPLETE
17,0.06065232341930587,2025-08-29 04:24:27.823611,2025-08-29 04:26:36.885494,0 days 00:02:09.061883,,MVS,137,10,1.5907957184416546,2,0.004653088142187383,0.43728943567852996,0.7262323084976419,,0.06065232341930587,,PRUNED
18,0.060687872617785105,2025-08-29 04:26:36.911470,2025-08-29 04:26:47.681383,0 days 00:00:10.769913,,MVS,127,6,15.176407565678607,4,0.146276480550878,0.025441233406472225,0.6261064281809297,,0.05805373581216932,0.060687872617785105,PRUNED
19,0.06064197280209021,2025-08-29 04:26:47.704362,2025-08-29 04:28:11.647627,0 days 00:01:23.943265,,Bernoulli,101,9,0.25912465250228656,3,0.01546103717100184,0.04056918017095226,0.6260509483771772,0.9918697566684773,0.06064197280209021,,PRUNED
20,0.059581466325313595,2025-08-29 04:28:11.677695,2025-08-29 04:29:06.198819,0 days 00:00:54.521124,,MVS,55,6,28.319709332133474,4,0.02461737772157337,0.3321650976701439,0.8812829974613233,,0.05802595253666061,0.060575458041603816,COMPLETE
21,0.05962244757845987,2025-08-29 04:29:06.224386,2025-08-29 04:29:52.291882,0 days 00:00:46.067496,,MVS,86,5,82.80709765169487,2,0.029666666472095416,0.6171405677148647,0.9588002990817776,,0.06059076136241096,,COMPLETE
22,0.05812751241306162,2025-08-29 04:29:52.315905,2025-08-29 04:30:11.852794,0 days 00:00:19.536889,,MVS,52,5,85.35533256159003,4,0.015102162093528002,0.029455336364385798,0.7178623975698777,,0.05812751241306162,,PRUNED
23,0.05964018605121907,2025-08-29 04:30:11.875744,2025-08-29 04:30:37.721136,0 days 00:00:25.845392,,MVS,47,5,3.37356336358326,7,0.08607964015494084,0.24777130042482504,0.9145853101621962,,0.05805936843904815,0.06059942423774551,COMPLETE
24,0.059607127767697846,2025-08-29 04:30:37.743347,2025-08-29 04:31:46.028056,0 days 00:01:08.284709,0.949304947336082,Bayesian,83,7,11.097494312523104,6,0.02006302224760385,0.3246038296907769,0.9035549368056498,,0.06059618452934488,,COMPLETE
25,0.06067757084839982,2025-08-29 04:31:46.053126,2025-08-29 04:32:14.924899,0 days 00:00:28.871773,0.9579277117653029,Bayesian,74,7,29.910656575932844,4,0.05427602573750289,0.21286709937319281,0.9379855592313984,,0.058028854969798,0.06067757084839982,PRUNED
26,0.060708925237480615,2025-08-29 04:32:14.946274,2025-08-29 04:33:18.622858,0 days 00:01:03.676584,,Bernoulli,65,8,53.368144092555,2,0.004914832527554316,0.11377110945616775,0.6332429537787313,0.7957588354978627,0.060708925237480615,,PRUNED
27,0.06061117010465543,2025-08-29 04:33:18.649941,2025-08-29 04:33:51.045018,0 days 00:00:32.395077,0.6552901187497724,Bayesian,37,8,6.004512593291221,6,0.04281178909993547,0.6927909443433917,0.7965695372507688,,0.06061117010465543,,PRUNED
28,0.06064544054642142,2025-08-29 04:33:51.069332,2025-08-29 04:35:03.491100,0 days 00:01:12.421768,,MVS,164,8,84.99990725047456,2,0.007379158654826577,0.16834884194493402,0.5601094302059343,,0.06064544054642142,,PRUNED
29,0.059586146206380045,2025-08-29 04:35:03.516051,2025-08-29 04:36:05.340016,0 days 00:01:01.823965,0.9908116071627444,Bayesian,137,6,3.69025165264224,6,0.0245774737549794,0.6561237952283231,0.9196989522099964,,0.060576910503204,,COMPLETE
30,0.0595921568302243,2025-08-29 04:36:05.368389,2025-08-29 04:36:53.611352,0 days 00:00:48.242963,0.5992436224127611,Bayesian,157,5,11.45892703669195,8,0.04409412899992952,0.729144242596543,0.8588714511282686,,0.05802177724755896,0.06060402089821828,COMPLETE
31,0.05812167921072726,2025-08-29 04:36:53.635331,2025-08-29 04:37:12.877064,0 days 00:00:19.241733,0.6302575856047076,Bayesian,92,4,0.5218274339784527,6,0.02302395654575396,0.8188727026508809,0.9699121898219746,,0.05812167921072726,,PRUNED
