number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_feature_fraction_bynode,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_split_gain,params_num_leaves_log2,params_use_feature_fraction_bynode,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,,2025-08-28 21:26:12.856207,2025-08-28 21:26:50.161583,0 days 00:00:37.305376,0.5102922471479012,7,0.8540362888980227,0.6521211214797689,0.310444354994832,8.148018307012941e-07,0.0013927723945289009,4,2696,0.06358358856676251,4,True,,,FAIL
1,0.06002947660495084,2025-08-28 21:28:44.509456,2025-08-28 21:29:44.509425,0 days 00:00:59.999969,0.5102922471479012,7,0.8540362888980227,0.6521211214797689,0.310444354994832,8.148018307012941e-07,0.0013927723945289009,4,2696,0.06358358856676251,4,True,,,COMPLETE
2,,2025-08-28 21:29:44.868296,2025-08-28 21:30:24.144517,0 days 00:00:39.276221,0.7962072844310213,0,0.7571172192068059,0.9828160165372797,0.0029369981104377003,3.425445902633376e-07,0.013481575603601416,8,1855,0.003972110727381913,5,True,0.05792517422170328,,FAIL
3,0.05844219464607867,2025-08-28 21:38:58.032224,2025-08-28 21:39:22.444453,0 days 00:00:24.412229,0.5102922471479012,7,0.8540362888980227,0.6521211214797689,0.310444354994832,8.148018307012941e-07,0.0013927723945289009,4,2696,0.06358358856676251,4,True,0.05844219464607867,,PRUNED
4,0.0597191132127573,2025-08-28 21:39:22.789149,2025-08-28 21:40:37.375992,0 days 00:01:14.586843,0.7962072844310213,0,0.7571172192068059,0.9828160165372797,0.0029369981104377003,3.425445902633376e-07,0.013481575603601416,8,1855,0.003972110727381913,5,True,0.06089797615926373,,COMPLETE
5,0.05842275473987707,2025-08-28 21:40:37.410548,2025-08-28 21:41:10.586338,0 days 00:00:33.175790,0.6558555380447055,4,0.831261142176991,,0.0008325158565947969,4.609885087947832e-07,0.0012167028814593455,-1,3290,0.005975027999960293,7,False,0.05842275473987707,,PRUNED
6,0.05957491568587566,2025-08-28 21:41:10.619380,2025-08-28 21:43:08.927411,0 days 00:01:58.308031,0.6783766633467947,2,0.9143687545759647,,0.0007660634613082907,1.8548894229694903e-07,0.006395620370993668,-1,298,0.006516990611177174,4,False,0.060613239706854644,,COMPLETE
7,0.05820523645244954,2025-08-28 21:43:08.954247,2025-08-28 21:43:52.380917,0 days 00:00:43.426670,0.9315517129377968,4,0.5579345297625649,0.864803089169032,9.507847858536042e-06,3.732717755563729e-08,0.08138233922650512,-1,70,0.011895896737553546,9,True,0.05820523645244954,,PRUNED
8,0.0579346891649628,2025-08-28 21:43:52.410187,2025-08-28 21:44:08.495222,0 days 00:00:16.085035,0.7137705091792748,0,0.7613664146909971,,9.354548757337708e-08,1.9180621318615033e-08,0.024566974547738343,4,1738,0.030296104428212477,4,False,0.0579346891649628,,PRUNED
9,0.05826584996066578,2025-08-28 21:44:08.521336,2025-08-28 21:44:42.825292,0 days 00:00:34.303956,0.9040601897822085,5,0.9648488261712865,0.7696711209578253,0.6968596391373528,0.17102070487973364,0.0015512742044130146,4,189,0.0030455368715396787,4,True,0.05826584996066578,,PRUNED
10,0.05802880867456676,2025-08-28 21:44:42.855969,2025-08-28 21:44:48.588414,0 days 00:00:05.732445,0.7087055015743895,1,0.7553736512887829,,1.1989147575590843e-07,1.0927895733904103e-05,0.10624824455988381,4,2629,0.0010491954332267905,4,False,0.05802880867456676,,PRUNED
11,0.059569823492738413,2025-08-28 21:44:48.618476,2025-08-28 21:47:32.547589,0 days 00:02:43.929113,0.7513395116144308,0,0.8047821669899484,,3.219720539814264e-06,1.4941457839436298,0.005563038381738899,8,184,0.0012902113024567154,6,False,0.0605990896235041,,COMPLETE
12,0.05795165264231201,2025-08-28 21:47:32.572138,2025-08-28 21:49:06.350743,0 days 00:01:33.778605,0.7486588562087139,2,0.7116381814778314,,2.1526449272169526e-07,3.3319637841960956,0.003002644302696758,8,96,0.005554060432195714,6,False,0.05795165264231201,,PRUNED
13,0.059538366932357235,2025-08-28 21:49:06.379100,2025-08-28 21:54:39.509378,0 days 00:05:33.130278,0.8425589212125918,2,0.7234377069763039,,0.22030970820810344,2.2494102113832836e-08,0.005144908725706836,-1,219,0.004980716750503406,7,False,0.057927519123773384,0.060544572527809995,COMPLETE
14,0.05797219480095963,2025-08-28 21:54:39.534899,2025-08-28 21:55:07.301474,0 days 00:00:27.766575,0.9939745902457598,1,0.6769410856678668,,0.45554057313172674,3.0555972382009494e-08,0.04127819680022189,-1,324,0.005257969609484693,8,False,0.05797219480095963,,PRUNED
15,0.06060077258061493,2025-08-28 21:55:07.328826,2025-08-28 22:00:29.874116,0 days 00:05:22.545290,0.6711072562023265,0,0.8789441430073741,,0.00032291573439725417,9.556042656510717,0.004542399547364584,-1,379,0.009563608362978341,7,False,0.05792346077269543,0.06060077258061493,PRUNED
16,0.05956119711333056,2025-08-28 22:00:29.910769,2025-08-28 22:13:09.611735,0 days 00:12:39.700966,0.7105911345065534,2,0.6439808511540346,,0.05937901700642088,2.446539541967548e-08,0.0016072151674380562,-1,64,0.00606457644287708,7,False,0.06056778102485107,,COMPLETE
17,0.05799820224208171,2025-08-28 22:13:09.649947,2025-08-28 22:17:50.525178,0 days 00:04:40.875231,0.5690375811767554,1,0.6113219162191739,,0.023172505463006494,6.409485574586924e-07,0.007777393474786849,-1,56,0.013035267954157341,10,False,0.05799820224208171,,PRUNED
18,0.058220223047935504,2025-08-28 22:17:50.565164,2025-08-28 22:18:54.989339,0 days 00:01:04.424175,0.8114896755290179,2,0.6946820522796123,,0.003490978749467689,2.993565002906704e-05,0.0011298633149384462,6,272,0.0025123264699389147,6,False,0.058220223047935504,,PRUNED
19,0.06072571078656386,2025-08-28 22:18:55.026158,2025-08-28 22:20:18.477972,0 days 00:01:23.451814,0.8695608415307636,0,0.7944359181995155,,0.26594119595899113,4.5920783979862326e-06,0.0019642100997919743,4,61,0.00851441361583286,4,False,0.06072571078656386,,PRUNED
20,0.06057020077848473,2025-08-28 22:20:18.520338,2025-08-28 22:21:48.621062,0 days 00:01:30.100724,0.792865410450345,4,0.6875261600974975,,0.2019441398647474,1.0332183953336669e-08,0.009088278751107456,6,78,0.02643706261052691,6,False,0.05792036187102313,0.06057020077848473,PRUNED
21,0.05952702784755336,2025-08-28 22:21:48.655064,2025-08-28 22:26:07.589157,0 days 00:04:18.934093,0.7852415660791551,2,0.6597376260442992,0.504514461236482,0.41343886546805636,2.120470946905098e-08,0.006341994298301058,12,192,0.005179757771972933,8,True,0.06053763796985132,,COMPLETE
22,0.060591821396119405,2025-08-28 22:26:07.623345,2025-08-28 22:27:51.204734,0 days 00:01:43.581389,0.7819532364956455,3,0.7343538768722366,0.5103583996673658,0.12691953204370324,4.7115977544790285e-05,0.012989186786435066,12,345,0.0031859817316656366,9,True,0.05790704306618369,0.060591821396119405,PRUNED
23,0.060592279857076194,2025-08-28 22:27:51.242597,2025-08-28 22:29:23.801704,0 days 00:01:32.559107,0.7928903936371842,3,0.58268973607888,0.5023009061602322,0.09698587569415175,2.6089756596086793e-08,0.007310854116954575,4,138,0.008109325184744127,4,True,0.060592279857076194,,PRUNED
24,0.059519454307218764,2025-08-28 22:29:23.840464,2025-08-28 22:34:33.825866,0 days 00:05:09.985402,0.8174007698287207,1,0.6776964812485791,0.6291299166621109,0.00017750398651664634,3.855681796991282e-08,0.005330619474363085,12,125,0.0011013959361089501,8,True,0.0579264368554389,0.06052980067128883,COMPLETE
25,0.057945612946802304,2025-08-28 22:34:33.856786,2025-08-28 22:36:40.610576,0 days 00:02:06.753790,0.8334264211389423,2,0.5874485359234918,0.6037685523226775,2.4485859089269927e-06,5.325899314500918e-07,0.007490215724239061,12,76,0.003759627045925113,8,True,0.057945612946802304,,PRUNED
26,0.05813335484879187,2025-08-28 22:36:40.651070,2025-08-28 22:39:10.478344,0 days 00:02:29.827274,0.9042433901607175,2,0.766488093221905,0.7010748738201807,6.672060933447808,1.5523051882244758e-08,0.001002279643736179,12,441,0.020462585273062255,8,True,0.05813335484879187,,PRUNED
27,0.058045905904771655,2025-08-28 22:39:10.514706,2025-08-28 22:41:26.640060,0 days 00:02:16.125354,0.8876442529598716,2,0.6466156738104287,,3.9956768689644417,7.3017589540965e-08,0.0014447197689774886,-1,625,0.004235935890650659,8,False,0.058045905904771655,,PRUNED
28,0.058091511597294115,2025-08-28 22:41:26.675095,2025-08-28 22:45:44.684131,0 days 00:04:18.009036,0.6561891287781216,0,0.7106766361948007,0.5764512605173089,0.11679553889297806,2.84368259696077e-07,0.0010701199406302334,12,134,0.0011758904402678738,9,True,0.058091511597294115,,PRUNED
29,0.06058908169734561,2025-08-28 22:45:44.735006,2025-08-28 22:47:08.192792,0 days 00:01:23.457786,0.8722499326273876,0,0.7672254955060118,0.5331692213618843,1.0390430210493373,1.7449836210317945e-08,0.01980549869115406,12,120,0.0030538612207600215,8,True,0.06058908169734561,,PRUNED
30,0.05794435696956445,2025-08-28 22:47:08.222485,2025-08-28 22:48:24.532602,0 days 00:01:16.310117,0.8590438573488387,0,0.5908123111663318,0.7468141225849382,3.166226790615758e-05,3.351249199253523e-06,0.010486023514339075,-1,305,0.0020122267009873135,7,True,0.05794435696956445,,PRUNED
31,0.06061838435699431,2025-08-28 22:48:24.561551,2025-08-28 22:52:34.684456,0 days 00:04:10.122905,0.9788347342013657,1,0.6266894855959078,0.6169145562552635,0.00019195133079514382,1.247988243050947e-08,0.0015281454767500252,8,101,0.0015357317964241107,7,True,0.06061838435699431,,PRUNED
32,0.05797189002977959,2025-08-28 22:52:34.720856,2025-08-28 22:53:58.567903,0 days 00:01:23.847047,0.7606644204858615,1,0.5545186075157255,0.5164581035022787,0.018046487014349112,6.600399356157467e-08,0.010735678613688847,12,63,0.0013903893271280826,10,True,0.05797189002977959,,PRUNED
33,0.057960268484239484,2025-08-28 22:53:58.596418,2025-08-28 22:56:32.393135,0 days 00:02:33.796717,0.8423084617881219,0,0.7050179996422199,,0.0036335404918319465,1.3707045753486476e-07,0.00443504693771774,-1,113,0.004690378434027742,7,False,0.057960268484239484,,PRUNED
34,0.060564628843269804,2025-08-28 22:56:32.429005,2025-08-28 23:00:03.936000,0 days 00:03:31.506995,0.8449466939086178,0,0.7307821310233811,0.6781297346295757,0.0007185574373593989,6.685049852521973e-07,0.004430971277567346,12,292,0.0019649881863224258,8,True,0.05792584416001122,0.060564628843269804,PRUNED
35,0.05953717776730828,2025-08-28 23:00:03.964619,2025-08-28 23:04:40.931248,0 days 00:04:36.966629,0.6989753532370127,2,0.7173611846924621,,3.9670251946429476,1.4490398110956583e-08,0.0028902688672402385,8,94,0.0010158132480121158,7,False,0.06056486246775872,,COMPLETE
36,0.05814374578994026,2025-08-28 23:04:40.958361,2025-08-28 23:06:37.947213,0 days 00:01:56.988852,0.7306332382758223,3,0.7766825495706627,,8.456198029867197,6.51549395814026e-07,0.001025267163422271,8,160,0.0028183402939362962,7,False,0.05814374578994026,,PRUNED
37,0.057938932578736585,2025-08-28 23:06:37.975463,2025-08-28 23:07:10.746456,0 days 00:00:32.770993,0.6900682406283827,1,0.9032282681346663,,0.07767948262069002,5.488663015212672e-08,0.014723092268619103,8,141,0.0010289745438707165,7,False,0.057938932578736585,,PRUNED
38,0.05800460282712416,2025-08-28 23:07:10.774053,2025-08-28 23:09:03.476186,0 days 00:01:52.702133,0.7198531660982151,3,0.7792498809903822,0.8307864156640796,2.4681596200099073e-06,3.2819055288497247e-07,0.0020898903960452444,8,63,0.0010322795613598324,7,True,0.05800460282712416,,PRUNED
39,0.06056492774868292,2025-08-28 23:09:03.504923,2025-08-28 23:12:07.138238,0 days 00:03:03.633315,0.7920355340388141,4,0.6215938709571226,,2.0166688281774294,3.9567580002392735e-08,0.004489811756551811,8,102,0.001128217440411869,7,False,0.05790988370825857,0.06056492774868292,PRUNED
40,0.06054977240093339,2025-08-28 23:12:07.166733,2025-08-28 23:14:27.854718,0 days 00:02:20.687985,0.5662926878210719,3,0.6538157914601345,,1.0050608770702059,2.3889670437266612e-08,0.008130883988593764,10,61,0.00112783537164448,9,False,0.05791381566280782,0.06054977240093339,PRUNED
41,0.057942890589743536,2025-08-28 23:14:27.884391,2025-08-28 23:17:20.840378,0 days 00:02:52.955987,0.6955967116998768,2,0.7414070040808329,0.6086107615240157,0.9732025455054056,5.40359657583409e-08,0.004417477232126423,-1,235,0.003947301781602402,8,True,0.057942890589743536,,PRUNED
42,0.05836505012496031,2025-08-28 23:17:20.870980,2025-08-28 23:17:55.295848,0 days 00:00:34.424868,0.5257345535322464,0,0.6522391308061884,,0.3113575435391809,1.1995547960093651e-08,0.001053885637301658,4,242,0.0018551722993246714,4,False,0.05836505012496031,,PRUNED
43,0.05953724197952874,2025-08-28 23:17:55.323988,2025-08-28 23:27:40.318503,0 days 00:09:44.994515,0.6960796997259323,6,0.5902922018018589,,0.20691455207010048,1.6676100536937035e-07,0.0024086239938427944,-1,76,0.011576858651781817,7,False,0.060564235968094876,,COMPLETE
44,0.05953028753461429,2025-08-28 23:27:40.343938,2025-08-28 23:33:52.958165,0 days 00:06:12.614227,0.6399135828540515,7,0.7102159089529559,,0.0026323206208669794,7.342513764724959e-08,0.005840693930543288,-1,102,0.009075117792976706,8,False,0.060553628256743576,,COMPLETE
45,0.05795628921481741,2025-08-28 23:33:52.983975,2025-08-28 23:35:05.580676,0 days 00:01:12.596701,0.6292691560612158,6,0.6448936399589482,,0.005746616807816751,4.101880295984783e-07,0.012186861372063765,-1,146,0.0025949361760836632,8,False,0.05795628921481741,,PRUNED
46,0.058359385056159674,2025-08-28 23:35:05.606557,2025-08-28 23:35:38.008709,0 days 00:00:32.402152,0.6700657343553583,7,0.7740686633841494,,3.114510044896853e-05,2.2752636450877383e-08,0.001047417681669982,4,114,0.011001722588955397,4,False,0.058359385056159674,,PRUNED
47,0.05797996770320542,2025-08-28 23:35:38.036251,2025-08-28 23:42:52.917213,0 days 00:07:14.880962,0.7506199813396918,7,0.6635322390948502,,5.53279488067524,1.0082004869628949e-07,0.0014093335599726041,-1,75,0.002743583632014323,8,False,0.05797996770320542,,PRUNED
48,0.06058532323205169,2025-08-28 23:42:52.950727,2025-08-28 23:57:22.884567,0 days 00:14:29.933840,0.5291369732486879,7,0.6089671901497038,,0.11263784167898999,1.6882158094096148e-07,0.0012169120462118344,-1,66,0.03543515132423532,8,False,0.06058532323205169,,PRUNED
49,0.059533322545996234,2025-08-28 23:57:22.924443,2025-08-28 23:58:53.249551,0 days 00:01:30.325108,0.6037408257256596,7,0.6162309786340235,,3.720461419096774e-06,8.613435026599951e-08,0.013433272326953011,8,76,0.05718793685956873,7,False,0.06052181009571017,,COMPLETE
