number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_max_bin,params_max_depth,params_max_leaves,params_min_child_weight,params_num_parallel_tree,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,,2025-08-28 21:30:55.101892,2025-08-28 21:30:55.714993,0 days 00:00:00.613101,0.5779972601681014,0.5290418060840998,0.5780093202212182,0.008468008575248327,0.6245760287469887,depthwise,135,12,,24.171857265923215,4.0,0.6796578090758157,4.0428727350273315,0.7993292420985183,,,FAIL
1,,2025-08-28 21:32:10.916310,2025-08-28 21:32:11.515338,0 days 00:00:00.599028,0.5779972601681014,0.5290418060840998,0.5780093202212182,0.008468008575248327,0.6245760287469887,depthwise,135,12,,24.171857265923215,4.0,0.6796578090758157,4.0428727350273315,0.7993292420985183,,,FAIL
2,0.0595775842666626,2025-08-28 21:33:26.176801,2025-08-28 21:36:04.100541,0 days 00:02:37.923740,0.5779972601681014,0.5290418060840998,0.5780093202212182,0.008468008575248327,0.6245760287469887,depthwise,135,12,,24.171857265923215,,0.6796578090758157,4.0428727350273315,0.7993292420985183,,,COMPLETE
3,,2025-08-28 21:36:04.579276,2025-08-28 21:36:23.057484,0 days 00:00:18.478208,0.7159725093210578,0.645614570099021,0.762378215816119,0.0033572967053517922,0.0032112643094417484,lossguide,269,4,47.0,1.3212630287749583,,0.01474275315991467,0.006870101665590026,0.6521211214797689,,,FAIL
4,0.0595775842666626,2025-08-28 23:58:59.846166,2025-08-29 00:00:53.734423,0 days 00:01:53.888257,0.5779972601681014,0.5290418060840998,0.5780093202212182,0.008468008575248327,0.6245760287469887,depthwise,135,12,,24.171857265923215,,0.6796578090758157,4.0428727350273315,0.7993292420985183,0.05799254775047302,0.0606052502989769,COMPLETE
5,0.05957050248980522,2025-08-29 00:00:54.033535,2025-08-29 00:07:43.884551,0 days 00:06:49.851016,0.7159725093210578,0.645614570099021,0.762378215816119,0.0033572967053517922,0.0032112643094417484,lossguide,269,4,47.0,1.3212630287749583,,0.01474275315991467,0.006870101665590026,0.6521211214797689,0.05798282474279404,0.060595110058784485,COMPLETE
6,0.057994294911623,2025-08-29 00:07:43.910540,2025-08-29 00:08:33.979132,0 days 00:00:50.068592,0.5325257964926398,0.9744427686266666,0.5852620618436457,0.018785426399210624,4.905556676028766,depthwise,165,8,,0.6395195087572917,,0.01653693718282442,70.85721663941601,0.8037724259507192,0.057994294911623,,PRUNED
7,0.058162979781627655,2025-08-29 00:08:34.006416,2025-08-29 00:48:27.332036,0 days 00:39:53.325620,0.831261142176991,0.6558555380447055,0.6293899908000085,0.002005873336344495,0.0004793052550782129,lossguide,501,7,2279.0,0.59992784944286,,0.0054880470007660455,1.9066091638188463,0.954660201039391,0.058162979781627655,,PRUNED
8,0.05837389454245567,2025-08-29 00:48:27.403199,2025-08-29 00:48:45.061208,0 days 00:00:17.658009,0.6626651653816322,0.6943386448447411,0.522613644455269,0.03027406546455652,2.7678419414850017e-06,depthwise,236,12,,0.7990867066607438,,0.026730883107816707,93.84800715909525,0.5979914312095727,0.05837389454245567,,PRUNED
9,0.05957895517349243,2025-08-29 00:48:45.090943,2025-08-29 00:49:44.299561,0 days 00:00:59.208618,0.5027610585618012,0.9077307142274171,0.5993578407670862,0.09708210658008562,0.022999378190815965,depthwise,156,3,,93.28814293896235,,1.2164139351417067,23.66154006460317,0.8861223846483287,0.05796041339635849,0.06056705862283707,COMPLETE
10,0.06008985638618469,2025-08-29 00:49:44.320150,2025-08-29 00:50:59.937784,0 days 00:01:15.617634,0.6625916610133735,0.864803089169032,0.6554911608578311,0.13740794394697667,0.005470376807480385,lossguide,174,9,355.0,2.8865313924585925,,0.07742116473996247,210.511805196087,0.5317791751430119,0.061044175177812576,,COMPLETE
11,0.05841604992747307,2025-08-29 00:50:59.962235,2025-08-29 00:52:25.009758,0 days 00:01:25.047523,0.5539457134966522,0.5157145928433671,0.5127095633720475,0.08124173472387217,0.005341874754868531,lossguide,477,7,1048.0,7.976161234554844,,0.1082138291061399,0.0769371131264886,0.7137705091792748,0.05841604992747307,,PRUNED
12,0.058182455599308014,2025-08-29 00:52:25.049431,2025-08-29 01:16:53.555651,0 days 00:24:28.506220,0.9040601897822085,0.8167018782552118,0.9648488261712865,0.0036877442861551015,0.6968596391373528,lossguide,471,3,2295.0,2.3211156980103356,,0.005575453980775369,66.37926838138375,0.5806106436270022,0.058182455599308014,,PRUNED
13,0.05805157497525215,2025-08-29 01:16:53.631899,2025-08-29 01:18:48.497042,0 days 00:01:54.865143,0.6128652282221453,0.6802396932957631,0.772583719941165,0.003071829109175071,7.609377043859252e-06,lossguide,423,4,20.0,0.9058416621658414,,0.03242445592788098,0.07146291430206735,0.5362873923192157,0.05805157497525215,,PRUNED
